Index,Name,Affiliation,Country
138,"Markus Wenzel 0002","Fraunhofer-Institut für Nachrichtentechnik, Heinrich-Hertz-Institut, Berlin, Germany",Germany
140,"Hannu Jaakkola","Tampere University of Technology, Finland",Finland
140,"Bernhard Thalheim","University of Kiel, Germany",Germany
142,"Jun Feng 0001","Hohai University, College of Computer and Information Engineering, Nanjing, China",China
142,"Xiaodong Li 0007","Hohai University, School of Computer and Information, Nanjing, China",China
144,"Sébastien Gérard","Atomic Energy and Alternative Energies Commission, CEA - Laboratory of Research on Software-intensive Technologies (LIST), France",France
144,"Loli Burgueño","University of Málaga, Spain",Spain
146,"Manuel Wimmer","Johannes Kepler University Linz, Austria",Austria
150,"Gunter Mussbacher","McGill University, Canada",Canada
150,"Rijul Saini","McGill University, Montreal, Quebec, Canada",Canada
152,"Jörg Kienzle","McGill University, Montreal, Canada",Canada
156,"Jin L. C. Guo","McGill University, Montreal, PQ, Canada",Canada
162,"Ihsan Ullah 0002","National University of Ireland, Galway, Ireland",Ireland
162,"Michael G. Madden","National University of Ireland, School of Computer Science, Galway, Ireland",Ireland
164,"Luis G. Nardin","Brandenburg University of Technology, Cottbus, Germany",Germany
164,"Arnoud Visser","University of Amsterdam, Netherlands",Netherlands
166,"Jacques Robin","Federal University of Pernambuco, Recife, Brazil",Brazil
166,"Daniel Diaz","University of Paris 1, France",France
168,"Marcus Liwicki","Luleå University of Technology, Sweden",Sweden
168,"Rolf Ingold","University of Fribourg, Switzerland",Switzerland
170,"Rajesh Bordawekar","IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",United States
170,"Oded Shmueli","Technion - Israel Institute of Technology, Haifa, Israel",Israel
172,"Zhuang Chen 0001","Guilin University of Electronic Technology, Guilin, China",China
172,"Lei Liu 0031","Xidian University, State Key Laboratory of Integrated Service Networks, Xi'an, China",China
174,"Raghunath Othayoth Nambiar","Cisco Systems, Inc",United States
174,"Shahram Ghandeharizadeh","University of Southern California, Los Angeles, USA",United States
176,"Yun Li 0002","Dongguan University of Technology, College of Computer Science and Technology, China",China
176,"Yi Chen 0020","Newcastle University, School of Engineering, Newcastle upon Tyne, UK",United Kingdom
178,"Vijay Kumar Devabhaktuni","Purdue University Northwest, Hammond,IN, USA",United States
178,"Devinder Kaur 0001","University of Toledo, Toledo, OH, USA",United States
180,"Zahoor Ali Khan","Higher Colleges of Technology, Abu Dhabi, UAE",United Arab Emirates
