author,name,aff
https://dblp.org/pid/07/4580-3,Yang Zhou 0003,"Chinese Academy of Sciences, Institute of Psychology, Beijing, China"
https://dblp.org/pid/07/6378-13,Fan Wu 0013,"Tuskegee University, Department of Computer Science, AL, USA"
https://dblp.org/pid/07/8184,Carola-Bibiane Schönlieb,"University of Cambridge, UK"
https://dblp.org/pid/08/10279,Mohamed Almorsy,"Deakin University, School of Information Technology, Geelong, VIC, Australia"
https://dblp.org/pid/08/11448-1,Andrea Mauri 0001,"Université Claude Bernard Lyon, France"
https://dblp.org/pid/08/1610,Enkelejda Kasneci,"University of Tübingen, Germany"
https://dblp.org/pid/08/1689,Sanjay Modgil,King's College London
https://dblp.org/pid/08/3445,Rose Alinda Alias,Universiti Teknologi Malaysia
https://dblp.org/pid/08/377,Aalt D. J. van Dijk,"Wageningen University, The Netherlands"
https://dblp.org/pid/08/3989-1,Krishan Kumar 0001,"Panjab University, University Institute of Engineering and Technology, Chandigarh, India"
https://dblp.org/pid/08/6606-2,Stefano Marrone 0002,"University of Naples Federico II, Italy"
https://dblp.org/pid/08/7383-1,Laura Hernández 0001,"National University of Distance Education, Department of Communication and Control, Madrid, Spain"
https://dblp.org/pid/08/8038,Lamia Chaari,"University of Sfax, Tunisia"
https://dblp.org/pid/08/8429,Hugo Hammer,"Oslo and Akershus University College of Applied Sciences, Oslo, Norway"
https://dblp.org/pid/09/108,René Riedl,"University of Applied Sciences Upper Austria, School of Management, Steyr, Austria"
https://dblp.org/pid/09/2505,Herwig Unger,"University of Hagen, Germany"
https://dblp.org/pid/09/5961-2,Ghulam Abbas 0002,"GIK Institute of Engineering Sciences and Technology, Topi, Pakistan"
https://dblp.org/pid/09/6044,Alessandro Vinciarelli,"University of Glasgow, School of Computing Science"
https://dblp.org/pid/09/6069,Xiaojun Yuan 0001,"State University of New York, Albany, NY, USA"
https://dblp.org/pid/09/7849,Yo Ehara,"Tokyo Gakugei University, Japan"
https://dblp.org/pid/10/1116,Luz García 0001,"University of Granada, Spain"
https://dblp.org/pid/10/1143-1,Zheng Li 0001,"Queen's University Belfast, UK"
https://dblp.org/pid/10/1887-1,Sheng Xu 0001,"National Institutes of Health, Bethesda, MD, USA"
https://dblp.org/pid/10/2674-1,Feng Gao 0001,"Tianjin University, Department of Physics, China"
https://dblp.org/pid/10/3087,Chun-Yi Su,"Concordia University, Montreal, Quebec, Canada"
https://dblp.org/pid/10/3411,Craig Boutilier,"University of Toronto, Canada"
https://dblp.org/pid/10/4151-1,Kun Huang 0001,"Indiana University School of Medicine, Department of Biostatistics & Health Data Science, USA"
https://dblp.org/pid/10/5415-2,Ying Sun 0002,"King Abdullah University of Science and Technology, Thuwal, Saudi Arabia"
https://dblp.org/pid/10/6108-1,N. Balaji 0001,"Karpagam College of Engineering, Coimbatore, India"
https://dblp.org/pid/10/660,Daniel DeLaurentis,"School of Aeronautics and Astronautics, Purdue University, West Lafayette, IN, USA"
https://dblp.org/pid/10/7647-1,Amit Kumar Singh 0001,"National Institute of Technology, Department of Computer Science and Engineering, Patna, India"
https://dblp.org/pid/10/8253,Philipp Beckerle,"TU Darmstadt, Germany"
https://dblp.org/pid/10/962,Eduardo José Solteiro Pires,"University of Trás-os-Montes and Alto Douro, Vila Real, Portugal"
https://dblp.org/pid/11/1581,Vagan Y. Terziyan,"University of Jyväskylä, Faculty of Information Technology, Finland"
https://dblp.org/pid/11/1598,Ahmet Çinar,"Firat University, Elazig, Turkey"
https://dblp.org/pid/11/1904,Nenad Mladenovic,"Serbian Academy of Sciences and Arts, Srbija, Serbia"
https://dblp.org/pid/11/3072,Pentti O. A. Haikonen,"University of Illinois at Springfield, Springfield, IL, USA"
https://dblp.org/pid/11/3098,Brett A. Becker,"University College Dublin, School of Computer Science, Ireland"
https://dblp.org/pid/11/880,Mohammad Masoud Javidi,"Shahid Bahonar University of Kerma, Department of Computer Science, Iran"
https://dblp.org/pid/11/9882,Eduardo Vázquez-Fernández,"Instituto Politecnico Nacional, Mexico City, Mexico"
https://dblp.org/pid/115/6458-3,Abhinav Kumar 0003,"Indian Institute of Technology (BHU), Varanasi, Uttar, India"
https://dblp.org/pid/115/7095-1,Liang Tan 0001,"Sichuan Normal University, College of Computer Science, Chengdu, China"
https://dblp.org/pid/115/7167,Bor-Shing Lin,"National Taipei University, Department of Computer Science and Information Engineering, New Taipei City, Taiwan"
https://dblp.org/pid/116/2732,Torsten A. Enßlin,"Max-Planck-Institut für Astrophysik, Garching, Germany"
https://dblp.org/pid/117/2385,Won-Jae Yi,"Illinois Institute of Technology, Chicago, IL, USA"
https://dblp.org/pid/117/9227,Nilanjan Dey,"JIS University, Department of Computer Science and Engineering, Kolkata, India"
https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
https://dblp.org/pid/12/10247,Christos Troussas,"University of West Attica, Department of Informatics and Computer Engineering, Aigaleo, Greece"
https://dblp.org/pid/12/1040,Paul Fergus,"Liverpool John Moores University, UK"
https://dblp.org/pid/12/1312,Stamatis Karnouskos,SAP
https://dblp.org/pid/12/1509-1,David J. Brown 0001,"Nottingham Trent University, UK"
https://dblp.org/pid/12/1770-6,Nitin Gupta 0006,"University of Delhi, Netaji Subhas Institute of Technology, New Delhi, India"
https://dblp.org/pid/12/2920,Alessandro Bozzon,"Delft University of Technology, The Netherlands"
https://dblp.org/pid/12/3262,Klaus P. Jantke,Fraunhofer IDMT
https://dblp.org/pid/12/5814,Gregory D. Hager,"Johns Hopkins University, Department of Computer Science"
https://dblp.org/pid/12/5859,Antonio Sgorbissa,Università di Genova
https://dblp.org/pid/12/6150,Giuseppe Jurman,"Fondazione Bruno Kessler, Trento, Italy"
https://dblp.org/pid/120/3127,Christian Meske,"FU Berlin, Department of Information Systems, Germany"
https://dblp.org/pid/120/8752,Mudassar Ahmad 0001,"National Textile University, Faisalabad, Pakistan"
https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany"
https://dblp.org/pid/121/2268,Xiaoge Zhang 0001,FedEx Express
https://dblp.org/pid/122/5100-6,Jiahui Chen 0006,"Michigan State University, Department of Mathematics, East Lansing, MI, USA"
https://dblp.org/pid/123/5110,Joey Tianyi Zhou,"A*STAR, Institute of High Performance Computing (IHPC), Singapore"
https://dblp.org/pid/124/2690,Hussan Munir,"Lund University, Sweden"
https://dblp.org/pid/124/2904,Haruna Chiroma,"University of Hafr Al Batin, Saudi Arabia"
https://dblp.org/pid/124/3893,Héctor Quintián,"University of A Coruña, Spain"
https://dblp.org/pid/124/4656,Mohamed-el-Amine Brahmia,"University of Haute Alsace, MIPS-GRTC"
https://dblp.org/pid/124/7206,Ahmed J. Afifi,"Technical University of Berlin, Germany"
https://dblp.org/pid/125/0630,Stefan Feuerriegel,"Ludwig Maximilians University of Munich, Institute of AI in Management, Germany"
https://dblp.org/pid/125/1717-1,Suneet K. Gupta 0001,"Bennett University, Greater Noida, India"
https://dblp.org/pid/125/2301,Ferhat Özgür Çatak,"Istanbul University, Turkey"
https://dblp.org/pid/126/8739,Ondrej Dusek,"Charles University, Prague, Czech Republic"
https://dblp.org/pid/127/6664,Juan Gerardo Ávalos Ochoa,"Instituto Politécnico Nacional, Mexico City, Mexico"
https://dblp.org/pid/127/9829-28,Ruoyu Wang 0028,"Xi'an Jiaotong-Liverpool University, School of Advanced Technology, Suzhou, China"
https://dblp.org/pid/128/4110,Timothy P. Derdenger,"Carnegie Mellon University, Pittsburgh, PA, USA"
https://dblp.org/pid/128/7747,Luciano Leonel Mendes,"Inatel, Santa Rita do Sapucaí, Brazil"
https://dblp.org/pid/128/7893,Savio W. H. Wong,"Chinese University of Hong Kong Shatin, CUHK, Department of Educational Psychology, Hong Kong"
https://dblp.org/pid/128/9824,Iñigo Barandiaran,"Visual Communication Technologies, San Sebastián, Spain"
https://dblp.org/pid/129/4130,Juan Manuel Belman-Flores,"University of Guanajuato, Salamanca, Mexico"
https://dblp.org/pid/129/8082,Michael Riegler 0001,Simula Metropolitan Center for Digital Engineering
https://dblp.org/pid/13/11430,Kerwin Wang,"National Changhua University of Education, Taiwan"
https://dblp.org/pid/13/1586-2,Liping Yang 0002,"University of New Mexico, Department of Geography and Environmental Studies, ASPIRE, Albuquerque, NM, USA"
https://dblp.org/pid/13/1933,Daniel Rivero 0001,"University of A Coruña, Faculty of Computer Science, CITIC, Spain"
https://dblp.org/pid/13/2073-2,Dan Popescu 0002,"Politehnica University of Bucharest, Faculty of Automatic Control and Computers, Romania"
https://dblp.org/pid/13/2736,Gitta Kutyniok,"LMU Munich, Germany"
https://dblp.org/pid/13/5195,George K. Karagiannidis,"Aristotle University of Thessaloniki, Greece"
https://dblp.org/pid/13/7563,Mauro Vallati,"University of Huddersfield, UK"
https://dblp.org/pid/13/7931,Catherine J. Stevens,"Western Sydney University, MARCS Institute, Rydalmere, NSW, Australia"
https://dblp.org/pid/130/4426,Daniel Palacios-Alonso,"King Juan Carlos University, Móstoles Campus, Madrid, Spain"
https://dblp.org/pid/131/0470-1,John Irvine 0001,"Northeastern University, Draper Laboratory, Boston/Cambridge, MA, USA"
https://dblp.org/pid/131/0573,Marco A. Ramos 0001,"Universidad Autonoma del Estado de Mexico, Toluca, Mexico"
https://dblp.org/pid/131/7133,Andreas K. Maier,"University of Erlangen-Nuremberg, Department of Computer Science, Pattern Recognition Laboratory, Erlangen, Germany"
https://dblp.org/pid/131/8381,Arsénio Reis,"University of Trás-os-Montes and Alto Douro, Portugal"
https://dblp.org/pid/132/1565-2,Zhiyuan Lin 0002,"University of Leeds, School of Computing, UK"
https://dblp.org/pid/132/2047-4,Yan Dai 0004,"Faculty of Psychology, Beijing Normal University, Beijing, China"
https://dblp.org/pid/132/5189,Adriano S. Koshiyama,"University College London, Department of Computer Science, UK"
https://dblp.org/pid/133/0183,Klaus H. Maier-Hein,"German Cancer Research Center, Heidelberg, Germany"
