doi,author1,name1,aff1,author2,name2,aff2
http://dx.doi.org/10.1109/5gwf.2019.8911693,https://dblp.org/pid/75/4085,Mérouane Debbah,"Khalifa University, Abu Dhabi, United Arab Emirates",https://dblp.org/pid/119/7827,Miguel Ángel Vázquez,"Centre Tecnològic de Telecomunicacions de Catalunya, Spain"
https://doi.org/10.1109/5gwf.2019.8911693,https://dblp.org/pid/75/4085,Mérouane Debbah,"Khalifa University, Abu Dhabi, United Arab Emirates",https://dblp.org/pid/119/7827,Miguel Ángel Vázquez,"Centre Tecnològic de Telecomunicacions de Catalunya, Spain"
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore"
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore"
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS)
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS)
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS),https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore"
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS),https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore"
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS),https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/h/WynneHsu,Wynne Hsu,National University of Singapore (NUS),https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/l/MongLiLee,Mong-Li Lee,National University of Singapore (NUS),https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
http://dx.doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore",https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
https://doi.org/10.1007/978-3-030-21074-8_26,https://dblp.org/pid/243/1972-1,Quang Duc Nguyen 0001,"Singapore Eye Research Institute, Singapore",https://dblp.org/pid/243/1966,Daniel S. W. Ting,"Duke-National University of Singapore (NUS) Medical School, Singapore"
http://dx.doi.org/10.1145/3358331.3358339,https://dblp.org/pid/95/3736-1,Jun Liu 0001,"University of Ulster, Jordanstown, UK",https://dblp.org/pid/27/2027,Huiru Zheng,"Ulster University, UK"
https://doi.org/10.1145/3358331.3358339,https://dblp.org/pid/95/3736-1,Jun Liu 0001,"University of Ulster, Jordanstown, UK",https://dblp.org/pid/27/2027,Huiru Zheng,"Ulster University, UK"
http://dx.doi.org/10.1145/3358331.3358339,https://dblp.org/pid/45/1696-1,Haiying Wang 0001,"Ulster University, School of Computing, UK",https://dblp.org/pid/27/2027,Huiru Zheng,"Ulster University, UK"
https://doi.org/10.1145/3358331.3358339,https://dblp.org/pid/45/1696-1,Haiying Wang 0001,"Ulster University, School of Computing, UK",https://dblp.org/pid/27/2027,Huiru Zheng,"Ulster University, UK"
http://dx.doi.org/10.1145/3358331.3358339,https://dblp.org/pid/95/3736-1,Jun Liu 0001,"University of Ulster, Jordanstown, UK",https://dblp.org/pid/45/1696-1,Haiying Wang 0001,"Ulster University, School of Computing, UK"
https://doi.org/10.1145/3358331.3358339,https://dblp.org/pid/95/3736-1,Jun Liu 0001,"University of Ulster, Jordanstown, UK",https://dblp.org/pid/45/1696-1,Haiying Wang 0001,"Ulster University, School of Computing, UK"
