author,name,aff
https://dblp.org/pid/00/4089-6,Ying Zhao 0006,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/00/4883-1,Jun Feng 0001,"Hohai University, College of Computer and Information Engineering, Nanjing, China"
https://dblp.org/pid/00/8789,Robert Chen-Hao Chang,"National Chung Hsing University, Taiwan"
https://dblp.org/pid/01/3693,Carolina Wählby,"Uppsala University, Sweden"
https://dblp.org/pid/01/4109-1,Stephen Green 0001,"University of Leicester, UK"
https://dblp.org/pid/01/4960,Erik Blasch,Air Force Research Laboratory
https://dblp.org/pid/02/1558-2,Li He 0002,"Guangdong University of Technology, School of Electromechanical Engineering, Guangzhou, China"
https://dblp.org/pid/02/3069,Kush R. Varshney,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"
https://dblp.org/pid/02/8285,Joshua Evan Auerbach,"EPFL, Switzerland"
https://dblp.org/pid/02/9552-3,Zhaofeng Li 0003,"Henan Institute of Science and Technology, School of Information Engineering, Xinxiang, China"
https://dblp.org/pid/03/2902-1,Shuai Ding 0001,"Hefei University of Technology, School of Management, Anhui, Hefei, China"
https://dblp.org/pid/03/3273,Georgios Tzimiropoulos,"University of Nottingham, UK"
https://dblp.org/pid/03/7930,Dong-Sheng Cao 0001,"Central South University, School of Pharmaceutical Sciences, Changsha, China"
https://dblp.org/pid/04/0,Francisco Herrera,"University of Granada, Department of Computer Science and Artificial Intelligence"
https://dblp.org/pid/04/2090-6,Zhi Zhou 0006,"Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China"
https://dblp.org/pid/04/3348-2,Yan Zhang 0002,"Simula Research Laboratory, Oslo, Norway"
https://dblp.org/pid/04/3472,Luca Longo,"Trinity College Dublin, Dublin Institute of Technology, Ireland"
https://dblp.org/pid/04/5344,Roman Barták,"Charles University, Czech Republic"
https://dblp.org/pid/04/55-5,Xing Wu 0005,"East China Normal University, School of Communication and Electronic Engineering, Department of Electrical Engineering, Shanghai, China"
https://dblp.org/pid/04/7743,Oliver Kroemer,"Max Planck Institute for Informatics, Saarbücken, Germany"
https://dblp.org/pid/05/2576,Georgios N. Yannakakis,"University of Malta, Institute of Digital Games"
https://dblp.org/pid/05/3499-31,Jing Zhang 0031,"Southeast University, National Mobile Communications Research Laboratory, Nanjing, China"
https://dblp.org/pid/05/6044,M. Lynne Markus,"Bentley University, Waltham, MA, USA"
https://dblp.org/pid/05/801,Fabrizio Maria Maggi,"Free University of Bozen-Bolzano, Italy"
https://dblp.org/pid/06/6785-31,Yang Zhang 0031,"University of Illinois Urbana-Champaign, School of Information Sciences, IL, USA"
https://dblp.org/pid/06/900-1,Saptarshi Ghosh 0001,"Indian Institute of Technology Kharagpur, India"
https://dblp.org/pid/07/10587,José M. Peña 0003,"Spanish National Research Council, Institute of Agricultural Sciences, Madrid, Spain"
https://dblp.org/pid/07/256-1,Nanning Zheng 0001,"Xi'an Jiaotong University, Institute of Artificial Intelligence and Robotics, China"
https://dblp.org/pid/07/315,Jason H. Moore,"University of Pennsylvania, Computational Genetics Laboratory, Philadelphia, PA, USA"
https://dblp.org/pid/08/6046,Roman Beck,"IT University of Copenhagen, Denmark"
https://dblp.org/pid/08/660,Juan Miguel López 0001,"University of the Basque Country, Vitoria, Spain"
https://dblp.org/pid/09/3625,Mehdi Bennis,"University of Oulu, Centre for Wireless Communications (CWC), Oulu, Finland"
https://dblp.org/pid/10/2042,Shervin Shirmohammadi,"University of Ottawa, Canada"
https://dblp.org/pid/10/3832,Engelbert Mephu Nguifo,"University Clermont Auvergne, Clermont-Ferrand, France"
https://dblp.org/pid/10/4661-138,Wei Zhang 0138,"Hangzhou Dianzi University, Department of Computer Science and Technology, China"
https://dblp.org/pid/10/5061,Yevgeni Koucheryavy,"Tampere University of Technology, Finland"
https://dblp.org/pid/10/966-1,Hua Fang 0001,"University of Massachusetts Dartmouth, Department of Computer and Information Science, Dartmouth, MA, USA"
https://dblp.org/pid/11/1952-5,Xin Lu 0005,"Coventry University, Faculty of Engineering and Computing, UK"
https://dblp.org/pid/11/3275,Arnoud Visser,"University of Amsterdam, Netherlands"
https://dblp.org/pid/11/5386,Tanveer F. Syeda-Mahmood,"IBM Almaden Research Center, San Jose, USA"
https://dblp.org/pid/115/9817,Sara S. Frug,"Cornell University Law School, Ithaca, NY, USA"
https://dblp.org/pid/116/2843-5,Muhammad Aamir 0005,"University of Derby, School of Electronics, Computing and Mathematics, UK"
https://dblp.org/pid/116/4809,Kamala Kanta Mahapatra,"NIT Rourkela, rourkela, India"
https://dblp.org/pid/116/5369,Loli Burgueño,"University of Málaga, Spain"
https://dblp.org/pid/117/3630,Patrick O. Glauner,"Deggendorf Institute of Technology, Department of Applied Computer Science, Germany"
https://dblp.org/pid/117/3757,Zechao Shang,University of Chicago
https://dblp.org/pid/117/9171,Sukhpal Singh,"Queen Mary University of London, UK"
https://dblp.org/pid/119/7827,Miguel Ángel Vázquez,"Centre Tecnològic de Telecomunicacions de Catalunya, Spain"
https://dblp.org/pid/12/1751,Curt Langlotz,"Stanford University, Center for Artificial Intelligence in Medicine and Imaging, CA, USA"
https://dblp.org/pid/12/4923-2,Hua Zhu 0002,"China University of Mining and Technology, School of Mechanical and Electrical Engineering, Xuzhou, China"
https://dblp.org/pid/12/53-2,Wenyu Zhang 0002,"University of Science and Technology Beijing, Institute of Artificial Intelligence, School of Intelligence Science and Technology, China"
https://dblp.org/pid/12/5814,Gregory D. Hager,"Johns Hopkins University, Department of Computer Science"
https://dblp.org/pid/12/9872,Terry Heath,"IBM T.J. Watson Research Center, Yorktown Heights, USA"
https://dblp.org/pid/120/1738,John Panneerselvam,"University of Derby, UK"
https://dblp.org/pid/120/6433,Thomas Ellwart,"University of Trier, Germany"
https://dblp.org/pid/120/6449,Jan Franklin Adamowski,"McGill University, Department of Bioresource Engineering, Canada"
https://dblp.org/pid/121/3511,Amulya Yadav,"IIT Patna, India"
https://dblp.org/pid/123/3528,Astrid Nieße,"Carl von Ossietzky University of Oldenburg, Germany"
https://dblp.org/pid/124/3893,Héctor Quintián,"University of A Coruña, Spain"
https://dblp.org/pid/125/0429-2,Yujiang Wang 0002,"Newcastle University, Newcastle upon Tyne, UK"
https://dblp.org/pid/129/1118,Vinícius Lima 0001,"University of São Paulo, Medical School, Brazil"
https://dblp.org/pid/129/7719,Luca G. Amarù,"Synopsys Inc, Mountain View, CA, USA"
https://dblp.org/pid/13/10456,Zahoor Ali Khan,"Higher Colleges of Technology, Abu Dhabi, UAE"
https://dblp.org/pid/13/4327,Manuel Graña,"University of the Basque Country, Computational Intelligence Group, San Sebastian, Spain"
https://dblp.org/pid/13/5168-2,Xiaojun Wu 0002,"Shaanxi Normal University, School of Computer Science, China"
https://dblp.org/pid/13/5195,George K. Karagiannidis,"Aristotle University of Thessaloniki, Greece"
https://dblp.org/pid/13/6042,Márcio Ferreira Moreno,"Pontifical Catholic University of Rio de Janeiro, Department of Informatics"
https://dblp.org/pid/13/6769-22,Ying Zhang 0022,Facebook
https://dblp.org/pid/13/6830,John S. Thompson,"University of Edinburgh, School of Engineering, UK"
https://dblp.org/pid/13/9673,Kanthi K. Sarpatwar,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"
