doi,author1,name1,aff1,author2,name2,aff2
https://doi.org/10.1016/j.tele.2020.101525,https://dblp.org/pid/96/74,Emilia Gómez,Joint Research Centre (European Commission),https://dblp.org/pid/76/8771,Fernando Martínez-Plumed,"Polytechnic University of Valencia, Spain"
http://dx.doi.org/10.1016/j.tele.2020.101525,https://dblp.org/pid/h/JoseHernandezOrallo,José Hernández-Orallo,"Polytechnic University of Valencia, Spain",https://dblp.org/pid/96/74,Emilia Gómez,Joint Research Centre (European Commission)
https://doi.org/10.1016/j.tele.2020.101525,https://dblp.org/pid/h/JoseHernandezOrallo,José Hernández-Orallo,"Polytechnic University of Valencia, Spain",https://dblp.org/pid/96/74,Emilia Gómez,Joint Research Centre (European Commission)
http://dx.doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/66/3604-1,Yong Deng 0001,"University of Electronic Science and Technology of China, Institute of Fundamental and Frontier Science, Chengdu, China",https://dblp.org/pid/17/772,Gerhard-Wilhelm Weber,"Poznan University of Technology, Poland"
https://doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/66/3604-1,Yong Deng 0001,"University of Electronic Science and Technology of China, Institute of Fundamental and Frontier Science, Chengdu, China",https://dblp.org/pid/17/772,Gerhard-Wilhelm Weber,"Poznan University of Technology, Poland"
http://dx.doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/34/1447,Chin-Teng Lin,"University of Technology Sydney, Ultimo, NSW, Australia",https://dblp.org/pid/17/772,Gerhard-Wilhelm Weber,"Poznan University of Technology, Poland"
https://doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/34/1447,Chin-Teng Lin,"University of Technology Sydney, Ultimo, NSW, Australia",https://dblp.org/pid/17/772,Gerhard-Wilhelm Weber,"Poznan University of Technology, Poland"
http://dx.doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/66/3604-1,Yong Deng 0001,"University of Electronic Science and Technology of China, Institute of Fundamental and Frontier Science, Chengdu, China",https://dblp.org/pid/34/1447,Chin-Teng Lin,"University of Technology Sydney, Ultimo, NSW, Australia"
https://doi.org/10.1109/tfuzz.2021.3122265,https://dblp.org/pid/66/3604-1,Yong Deng 0001,"University of Electronic Science and Technology of China, Institute of Fundamental and Frontier Science, Chengdu, China",https://dblp.org/pid/34/1447,Chin-Teng Lin,"University of Technology Sydney, Ultimo, NSW, Australia"
http://dx.doi.org/10.1109/tii.2020.3011457,https://dblp.org/pid/d/ZhaoYangDong,Zhao Yang Dong,"University of Queensland, Brisbane, Australia",https://dblp.org/pid/87/1024,Frede Blaabjerg,"Aalborg University, Department of Energy Technology, Denmark"
https://doi.org/10.1109/tii.2020.3011457,https://dblp.org/pid/d/ZhaoYangDong,Zhao Yang Dong,"University of Queensland, Brisbane, Australia",https://dblp.org/pid/87/1024,Frede Blaabjerg,"Aalborg University, Department of Energy Technology, Denmark"
http://dx.doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/78/4081-3,Yang Han 0003,"North China University of Science and Technology, College of Metallurgy and Energy, Key Laboratory of Engineering Calculation, Tangshan, China",https://dblp.org/pid/10/7647-1,Amit Kumar Singh 0001,"National Institute of Technology, Department of Computer Science and Engineering, Patna, India"
https://doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/78/4081-3,Yang Han 0003,"North China University of Science and Technology, College of Metallurgy and Energy, Key Laboratory of Engineering Calculation, Tangshan, China",https://dblp.org/pid/10/7647-1,Amit Kumar Singh 0001,"National Institute of Technology, Department of Computer Science and Engineering, Patna, India"
http://dx.doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/78/4081-3,Yang Han 0003,"North China University of Science and Technology, College of Metallurgy and Energy, Key Laboratory of Engineering Calculation, Tangshan, China",https://dblp.org/pid/21/9114,Zhihan Lyu,"Uppsala University, Department of Game Design, Sweden"
https://doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/78/4081-3,Yang Han 0003,"North China University of Science and Technology, College of Metallurgy and Energy, Key Laboratory of Engineering Calculation, Tangshan, China",https://dblp.org/pid/21/9114,Zhihan Lyu,"Uppsala University, Department of Game Design, Sweden"
http://dx.doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/21/9114,Zhihan Lyu,"Uppsala University, Department of Game Design, Sweden",https://dblp.org/pid/10/7647-1,Amit Kumar Singh 0001,"National Institute of Technology, Department of Computer Science and Engineering, Patna, India"
https://doi.org/10.1109/tii.2020.2994747,https://dblp.org/pid/21/9114,Zhihan Lyu,"Uppsala University, Department of Game Design, Sweden",https://dblp.org/pid/10/7647-1,Amit Kumar Singh 0001,"National Institute of Technology, Department of Computer Science and Engineering, Patna, India"
http://dx.doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/t/VincentSMTseng,Vincent S. Tseng,"National Cheng Kung University, Tainan, Taiwan",https://dblp.org/pid/41/912,Chun-Wei Lin,"Western Norway University of Applied Sciences, Bergen, Norway"
https://doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/t/VincentSMTseng,Vincent S. Tseng,"National Cheng Kung University, Tainan, Taiwan",https://dblp.org/pid/41/912,Chun-Wei Lin,"Western Norway University of Applied Sciences, Bergen, Norway"
http://dx.doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/t/VincentSMTseng,Vincent S. Tseng,"National Cheng Kung University, Tainan, Taiwan",https://dblp.org/pid/57/9993,Gautam Srivastava 0001,"Brandon University, Department of Mathematics and Computer Science, MB, Canada"
https://doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/t/VincentSMTseng,Vincent S. Tseng,"National Cheng Kung University, Tainan, Taiwan",https://dblp.org/pid/57/9993,Gautam Srivastava 0001,"Brandon University, Department of Mathematics and Computer Science, MB, Canada"
http://dx.doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/57/9993,Gautam Srivastava 0001,"Brandon University, Department of Mathematics and Computer Science, MB, Canada",https://dblp.org/pid/41/912,Chun-Wei Lin,"Western Norway University of Applied Sciences, Bergen, Norway"
https://doi.org/10.1109/tii.2021.3058138,https://dblp.org/pid/57/9993,Gautam Srivastava 0001,"Brandon University, Department of Mathematics and Computer Science, MB, Canada",https://dblp.org/pid/41/912,Chun-Wei Lin,"Western Norway University of Applied Sciences, Bergen, Norway"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
