author,name,aff
https://dblp.org/pid/00/1664-2,Mark Campbell 0002,"EVOTEK, San Diego, CA, USA"
https://dblp.org/pid/00/1811-1,Ling Luo 0001,"National Institutes of Health, Bethesda, MD, USA"
https://dblp.org/pid/00/202,David R. Bull,"University of Bristol, UK"
https://dblp.org/pid/00/3298,Swagatam Das,"Indian Statistical Institute, Kolkata, India"
https://dblp.org/pid/00/3887-1,Rong Li 0001,"Huawei Technologies Co., Hangzhou Research Center, China"
https://dblp.org/pid/00/4089-6,Ying Zhao 0006,"Naval Postgraduate School, Monterey, CA, USA"
https://dblp.org/pid/00/6381-1,Bin Hu 0001,"Lanzhou University, School of Information Science and Engineering, China"
https://dblp.org/pid/01/2487,Noel E. O'Connor,"Dublin City University, Ireland"
https://dblp.org/pid/01/2775-15,Lei Yu 0015,"Anhui University of Chinese Medicine, School of Medical Information Technology, Hefei, China"
https://dblp.org/pid/01/3650-1,Paulo Martins 0001,"University of Trás-os-Montes and Alto Douro, Vila Real, Portugal"
https://dblp.org/pid/01/4547,Hamid R. Rabiee,"Sharif University of Technology, Tehran, Iran"
https://dblp.org/pid/01/4906,Visvanathan Ramesh,"Goethe University Frankfurt, Center for Cognition and Computation, Frankfurt am Main, Germany"
https://dblp.org/pid/01/6747,Juan E. Gilbert,"University of Florida, Gainesville, USA"
https://dblp.org/pid/01/99,Philippe Burlina,Johns Hopkins University
https://dblp.org/pid/02/219,May El Barachi,"University of Wollongong in Dubai, Faculty of Engineering & Information Sciences, United Arab Emirates"
https://dblp.org/pid/02/4385-1,Shaobo Zhang 0001,"Hunan University of Science and Technology, Xiangtan, China"
https://dblp.org/pid/02/6428-19,Yun Zhang 0019,"University of Electronic Science and Technology of China, Innovation Center of Advanced Pharmaceuticals and Artificial Intelligence, School of Information and Software Engineering, Chengdu, China"
https://dblp.org/pid/02/735-6,Xudong Zhao 0006,"Beijing University of Posts and Telecommunications, State Key Laboratory of Information Photonics and Optical Communications, Beijing, China"
https://dblp.org/pid/02/736-58,Jing Wang 0058,"Guangzhou Library, Guangzhou, China"
https://dblp.org/pid/02/7740,Pedro Santos 0001,"University of Lisbon, INESC-ID / Instituto Superior Técnico, Portugal"
https://dblp.org/pid/02/8452,M. M. E. Alemany,"Universitat Politècnica de València, Spain"
https://dblp.org/pid/03/1523,Joaquim Gabarró,"Polytechnic University of Catalonia, Barcelona, Spain"
https://dblp.org/pid/03/3627,Andreas Wichert,"University of Lisbon, Portugal"
https://dblp.org/pid/03/4043-4,Le Zhang 0004,"Sichuan University, College of Computer Science, Chengdu, China"
https://dblp.org/pid/03/6063,Shakir Mohamed,"DeepMind, UK"
https://dblp.org/pid/03/8462,Alex Pappachen James,"Digital University Kerala (DUK), Trivandrum, India"
https://dblp.org/pid/04/0,Francisco Herrera,"University of Granada, Department of Computer Science and Artificial Intelligence"
https://dblp.org/pid/04/1137,Panos M. Pardalos,"University of Florida, Gainesville"
https://dblp.org/pid/04/1262-2,Jiliang Zhang 0002,"Hunan University, College of Computer Science and Electronic Engineering, Changsha, China"
https://dblp.org/pid/04/1777,John A. McDermid,"University of York, Department of Computer Science, UK"
https://dblp.org/pid/04/3472,Luca Longo,"Trinity College Dublin, Dublin Institute of Technology, Ireland"
https://dblp.org/pid/04/3572-3,Md. Saiful Islam 0003,"Griffith University, Gold Coast, Australia"
https://dblp.org/pid/04/4309,J. Miguel Sanches,"Technical University of Lisbon, Institute for Systems and Robotics, Department of Bioengineering, Portugal"
https://dblp.org/pid/04/8276,Yuanfang Chen,"Télécom SudParis, Institut Mines-Télécom, Évry, France"
https://dblp.org/pid/04/8313-4,Mark Ryan 0004,"KTH Royal Institute of Technology, Stockholm, Sweden"
https://dblp.org/pid/04/999-6,Hui Yang 0006,"Beijing University of Posts and Telecommunications, State Key Laboratory of Information Photonics and Optical Communications, China"
https://dblp.org/pid/05/1439,Oguzhan Urhan,"University of Kocaeli, Laboratory of Image and Signal Processing"
https://dblp.org/pid/05/2263,Carsten Maple,"University of Warwick, Cyber Security Centre (CSC)"
https://dblp.org/pid/05/3422,Gianluca Demartini,"University of Queensland, School of Information Technology and Electrical Engineering, Australia"
https://dblp.org/pid/05/3499-22,Jing Zhang 0022,"Guizhou University, School of Electrical Engineering, Guiyang, China"
https://dblp.org/pid/05/3499-37,Jing Zhang 0037,"University of Sydney, School of Computer Science, Faculty of Engineering, UBTECH Sydney Artificial Intelligence Centre, NSW, Australia"
