author,name,aff
https://dblp.org/pid/00/11044-1,Haifeng Sun 0001,"Beijing University of Posts and Telecommunications, State Key Laboratory of Networking and Switching Technology, Beijing, China"
https://dblp.org/pid/00/1664-2,Mark Campbell 0002,"EVOTEK, San Diego, CA, USA"
https://dblp.org/pid/00/1945,Francisco J. Melero 0001,"University of Granada, Spain"
https://dblp.org/pid/00/2406-1,Jang-Hyun Kim 0001,"Sungkyunkwan University, Republic of Korea"
https://dblp.org/pid/00/256,James R. Warren,"The University of Auckland, New Zealand"
https://dblp.org/pid/00/3174,Bernhard Nessler,"Johannes Kepler University Linz, Institute of Bioinformatics, Austria"
https://dblp.org/pid/00/3214,Mohammed Bennamoun,"University of Western Australia, School of Computer Science and Software Engineering, Perth, WA, USA"
https://dblp.org/pid/00/6243,Rui Abreu 0001,"University of Porto, Department of Informatics Engineering, Porto, Portugal"
https://dblp.org/pid/00/6381-1,Bin Hu 0001,"Lanzhou University, School of Information Science and Engineering, China"
https://dblp.org/pid/00/7626-1,Sarika Jain 0001,"National Institute of Technology Kurukshetra, India"
https://dblp.org/pid/00/7633,Daniel Rodríguez-García,"University of Alcalá, Department of Computer Science, Spain"
https://dblp.org/pid/01/2070-1,Abdelaziz Marzak 0001,"Hassan II University, Faculty of Science Ben M'sik, Department of Mathematics and Computer sciences, LTIM, Casablanca, Morocco"
https://dblp.org/pid/01/2082-3,Ying Zhu 0003,"Hubei University of Technology, China"
https://dblp.org/pid/01/267-1,Song Guo 0001,"Hong Kong Polytechnic University, Department of Computing, Hong Kong"
https://dblp.org/pid/01/3488,Zoe Falomir,"University of Bremen, Spatial Cognition Research Centre, Germany"
https://dblp.org/pid/01/4635,Mariët Theune,"University of Twente, The Netherlands"
https://dblp.org/pid/01/4960,Erik Blasch,Air Force Research Laboratory
https://dblp.org/pid/01/5563,Keeley A. Crockett,"Manchester Metropolitan University, UK"
https://dblp.org/pid/01/7543,M. A. Hannan,"Universiti Tenaga Nasional, Kajang, Selangor, Malaysia"
https://dblp.org/pid/02/10648-1,Zixing Zhang 0001,"Imperial College London, Department of Computing, UK"
https://dblp.org/pid/02/11281,Gustavo T. Rubín Linares,"Benemérita Universidad Autónoma de Puebla (BUAP), Mexico"
https://dblp.org/pid/02/271,Glenn Fung,"American Family Insurance, Madison, WI, USA"
https://dblp.org/pid/02/5568,Carsten S. Østerlund,"Syracuse University, NY, USA"
https://dblp.org/pid/02/5889-17,Yu Wang 0017,"Guangzhou University, School of Computer Science, Guangzhou, China"
https://dblp.org/pid/02/6465,Yukie Nagai,"Osaka University, Japan"
https://dblp.org/pid/02/709-2,Francesco Longo 0002,"University of Calabria, Rende, Italy"
https://dblp.org/pid/02/7910-1,Xijun Wang 0001,"Sun Yat-sen University, School of Electronics and Information Technology, Guangzhou, China"
https://dblp.org/pid/03/1257,Albert Albers,"Karlsruhe Institute of Technology, Institute of Product Development, Germany"
https://dblp.org/pid/03/1467-4,Dan Liu 0004,"Harbin Institute of Technology, School of Electrical Engineering and Automation, Harbin, China"
https://dblp.org/pid/03/2134-1,Jie Liu 0001,"Harbin Institute of Technology, AI Research Institute, Harbin, China"
