doi,author1,name1,aff1,author2,name2,aff2
http://dx.doi.org/10.1007/978-3-662-65004-2_16,https://dblp.org/pid/64/2589,Martin Gebser,"University of Klagenfurt, Department of Applied Informatics, Austria",https://dblp.org/pid/47/1985,Gerhard Friedrich,"University of Klagenfurt, Austria"
https://doi.org/10.1007/978-3-662-65004-2_16,https://dblp.org/pid/64/2589,Martin Gebser,"University of Klagenfurt, Department of Applied Informatics, Austria",https://dblp.org/pid/47/1985,Gerhard Friedrich,"University of Klagenfurt, Austria"
http://dx.doi.org/10.1142/12801,https://dblp.org/pid/70/1794,Tshilidzi Marwala,"University of Johannesburg, South Africa",https://dblp.org/pid/14/4787,Fernando B. Lima Neto,"University of Pernambuco, Polytechnic School of Engineering, Recife, Brazil"
https://doi.org/10.1142/12801,https://dblp.org/pid/70/1794,Tshilidzi Marwala,"University of Johannesburg, South Africa",https://dblp.org/pid/14/4787,Fernando B. Lima Neto,"University of Pernambuco, Polytechnic School of Engineering, Recife, Brazil"
http://dx.doi.org/10.1109/fnwf55208.2022.00133,https://dblp.org/pid/70/5417-1,Honggang Wang 0001,"University of Massachusetts Dartmouth, MA, USA",https://dblp.org/pid/65/5213,Frederica Darema,"Air Force Office of Scientific Research, Arlington, VA, USA"
https://doi.org/10.1109/fnwf55208.2022.00133,https://dblp.org/pid/70/5417-1,Honggang Wang 0001,"University of Massachusetts Dartmouth, MA, USA",https://dblp.org/pid/65/5213,Frederica Darema,"Air Force Office of Scientific Research, Arlington, VA, USA"
http://dx.doi.org/10.1007/978-3-030-99584-3_26,https://dblp.org/pid/88/10236,Bassem Ouni,"University of Nice Sophia Antipolis, France",https://dblp.org/pid/08/8038,Lamia Chaari,"University of Sfax, Tunisia"
https://doi.org/10.1007/978-3-030-99584-3_26,https://dblp.org/pid/88/10236,Bassem Ouni,"University of Nice Sophia Antipolis, France",https://dblp.org/pid/08/8038,Lamia Chaari,"University of Sfax, Tunisia"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany",https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany",https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK",https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK",https://dblp.org/pid/121/1109,Philipp Wintersberger,"University of Applied Sciences Ingolstadt, Germany"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/m/FlorianMichahelles,Florian Michahelles,Siemens Corporation,https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
http://dx.doi.org/10.1145/3491101.3516409,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK",https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
https://doi.org/10.1145/3491101.3516409,https://dblp.org/pid/b/AnnBlandford,Ann Blandford,"University College London, UK",https://dblp.org/pid/118/6231,Elena L. Glassman,"Harvard University, Radcliffe Institute for Advanced Study, Cambridge, MA, USA"
http://dx.doi.org/10.1145/3511808.3557491,https://dblp.org/pid/70/11083,Luis Galárraga,"Aalborg University, Department of Computer Science, Denmark",https://dblp.org/pid/47/9735,José Oramas M.,"Catholic University of Leuven, Belgium"
https://doi.org/10.1145/3511808.3557491,https://dblp.org/pid/70/11083,Luis Galárraga,"Aalborg University, Department of Computer Science, Denmark",https://dblp.org/pid/47/9735,José Oramas M.,"Catholic University of Leuven, Belgium"
http://dx.doi.org/10.1109/cits55221.2022.9832998,https://dblp.org/pid/91/2882,Mohammad S. Obaidat,"University of Sharjah, College of Computing & Informatics, UAE",https://dblp.org/pid/12/1770-6,Nitin Gupta 0006,"University of Delhi, Netaji Subhas Institute of Technology, New Delhi, India"
https://doi.org/10.1109/cits55221.2022.9832998,https://dblp.org/pid/91/2882,Mohammad S. Obaidat,"University of Sharjah, College of Computing & Informatics, UAE",https://dblp.org/pid/12/1770-6,Nitin Gupta 0006,"University of Delhi, Netaji Subhas Institute of Technology, New Delhi, India"
http://dx.doi.org/10.1145/3568160.3570232,https://dblp.org/pid/96/7053,Jose M. Alcaraz Calero,"University of the West of Scotland, School of Engineering and Computing",https://dblp.org/pid/19/1924-1,Qi Wang 0001,"University of the West of Scotland, Paisley, UK"
https://doi.org/10.1145/3568160.3570232,https://dblp.org/pid/96/7053,Jose M. Alcaraz Calero,"University of the West of Scotland, School of Engineering and Computing",https://dblp.org/pid/19/1924-1,Qi Wang 0001,"University of the West of Scotland, Paisley, UK"
http://dx.doi.org/10.1007/978-3-031-14756-2_3,https://dblp.org/pid/38/607,Oksana Arnold,"Fachhochschule Erfurt, Germany",https://dblp.org/pid/12/3262,Klaus P. Jantke,Fraunhofer IDMT
https://doi.org/10.1007/978-3-031-14756-2_3,https://dblp.org/pid/38/607,Oksana Arnold,"Fachhochschule Erfurt, Germany",https://dblp.org/pid/12/3262,Klaus P. Jantke,Fraunhofer IDMT
http://dx.doi.org/10.23919/date54114.2022.9774755,https://dblp.org/pid/78/11359,Regina Dittmann,"RWTH Aachen University, Germany",https://dblp.org/pid/14/6306,Rainer Leupers,"RWTH Aachen University, Germany"
https://doi.org/10.23919/date54114.2022.9774755,https://dblp.org/pid/78/11359,Regina Dittmann,"RWTH Aachen University, Germany",https://dblp.org/pid/14/6306,Rainer Leupers,"RWTH Aachen University, Germany"
http://dx.doi.org/10.23919/date54114.2022.9774755,https://dblp.org/pid/312/0645,Tobias Ziegler 0005,"RWTH Aachen University, Institute of Materials in Electrical Engineering and Information Technology, Germany",https://dblp.org/pid/182/8787,Melvin Galicia,"RWTH Aachen University, Aachen, Germany"
https://doi.org/10.23919/date54114.2022.9774755,https://dblp.org/pid/312/0645,Tobias Ziegler 0005,"RWTH Aachen University, Institute of Materials in Electrical Engineering and Information Technology, Germany",https://dblp.org/pid/182/8787,Melvin Galicia,"RWTH Aachen University, Aachen, Germany"
